id	name	district	lat	long
1213	Yamhill Carlton Elementary School	Yamhill Carlton SD 1	45.2907525	-123.1732044
1216	Dundee Elementary School	Newberg SD 29J	45.2812413	-123.0110783
1217	Edwards Elementary School	Newberg SD 29J	45.2943658	-122.9716402
1218	Ewing Young Elementary School	Newberg SD 29J	45.32985679999999	-123.0573425
1219	Mabel Rush Elementary School	Newberg SD 29J	45.31075810000001	-122.9508378
1221	Mountain View Middle School	Newberg SD 29J	45.31424	-122.951914
1222	Newberg Senior High School	Newberg SD 29J	45.3295718	-122.9651975
1224	Willamina Elementary School	Willamina SD 30J	45.0859876	-123.4753873
1225	Willamina Middle School 	Willamina SD 30J	45.0844375	-123.4761476
1226	Willamina High School	Willamina SD 30J	45.0853341	-123.4757565
1228	Willamette Elementary School	McMinnville SD 40	45.2003029	-123.217311
1230	Memorial Elementary School	McMinnville SD 40	45.2185036	-123.2027197
1231	Newby Elementary School	McMinnville SD 40	45.2104657	-123.2090658
1232	Wascher Elementary School	McMinnville SD 40	45.2469599	-123.1062108
1233	Patton Middle School	McMinnville SD 40	45.222738	-123.1859997
1234	McMinnville High School	McMinnville SD 40	45.2193939	-123.1928911
1235	Faulconer-Chapman School	Sheridan SD 48J	45.0920108	-123.401357
1237	Sheridan High School	Sheridan SD 48J	45.095383	-123.393905
1238	Yamhill Carlton High School	Yamhill Carlton SD 1	45.3432748	-123.1868692
1240	Charlemagne French Immersion Elementary School	Eugene SD 4J	44.0021222	-123.101528
1241	Buena Vista Elementary School	Eugene SD 4J	44.0788715	-123.0764033
1243	Lane Middle School	Portland SD 1J	45.4713815	-122.6019562
1244	Chapman Hill Elementary School	Salem-Keizer SD 24J	44.9556409	-123.0776034
1248	Colton Middle School	Colton SD 53	45.1656775	-122.4234706
1254	Reynolds Middle School	Reynolds SD 7	45.5313496	-122.4555237
1259	Yujin Gakuen Elementary School	Eugene SD 4J	44.0274472	-123.0961589
1264	Mount Scott Elementary School	North Clackamas SD 12		
1266	Three Rivers Elementary School	Bend-LaPine Administrative SD 1	44.0453998	-121.3048315
1267	Lincoln Elementary School	Woodburn SD 103	45.1514058	-122.8598424
1268	French Prairie Middle School	Woodburn SD 103	45.1501077	-122.8597229
1270	Sexton Mountain Elementary School	Beaverton SD 48J	45.4593107	-122.8374668
1272	Boeckman Creek Primary School	West Linn-Wilsonville SD 3J	45.3093751	-122.7450207
1277	Jackson Middle School	Portland SD 1J	45.4486034	-122.7144401
1278	Markham Elementary School	Portland SD 1J	45.4494956	-122.7245404
1285	Jackson Elementary School	Hillsboro SD 1J	45.5436053	-122.9815696
1286	Willamette Primary School	West Linn-Wilsonville SD 3J	45.3431509	-122.6528098
1287	Athey Creek Middle School	West Linn-Wilsonville SD 3J	45.348758	-122.6732044
1288	Oak Creek Elementary School	Lake Oswego SD 7J	45.4270481	-122.7295506
1289	North Lake School	North Lake SD 14	43.2448168	-120.9027855
1291	Dayton Jr High School	Dayton SD 8	45.1747327	-123.0545584
1293	Sisters Middle School	Sisters SD 6	44.2930138	-121.5713925
1294	Sisters High School	Sisters SD 6	44.2963924	-121.5760991
1295	Culver Middle School	Culver SD 4	44.5220362	-121.2121253
1297	Territorial Elementary School	Junction City SD 69	44.1722836	-123.3124742
1299	Rieke Elementary School	Portland SD 1J	45.4764752	-122.6951463
1300	Hazelbrook Middle School	Tigard-Tualatin SD 23J	45.3928565	-122.7924462
1301	Tualatin High School	Tigard-Tualatin SD 23J	45.3590205	-122.7722557
1302	Tobias Elementary School	Hillsboro SD 1J	45.5119277	-122.8903721
1303	Nancy Ryles Elementary School	Beaverton SD 48J	45.4452169	-122.8431195
1304	Arts and Communication Magnet Academy	Beaverton SD 48J	45.4941644	-122.7941549
1305	Community School	Beaverton SD 48J	45.5014632	-122.8237771
1307	Cecile Trost Elementary School	Canby SD 86	45.256602	-122.6747229
1308	Elk Meadow Elementary School	Bend-LaPine Administrative SD 1		
1309	High Desert Middle School	Bend-LaPine Administrative SD 1		
1310	LaPine Middle School	Bend-LaPine Administrative SD 1		
1311	Central Linn Elementary School	Central Linn SD 552	44.3877476	-123.1108507
1312	Clear Creek Middle School	Gresham-Barlow SD 10J	45.5242982	-122.4376095
1313	Kelly Creek Elementary School	Gresham-Barlow SD 10J	45.4801741	-122.384625
1315	Duniway Middle School	McMinnville SD 40	45.2119328	-123.2094463
1317	Lava Ridge Elementary School	Bend-LaPine Administrative SD 1		
1319	Conestoga Middle School	Beaverton SD 48J	45.4467453	-122.8026698
